epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1623.55,0.70943,0.50062,1.02841,0.86656,0.87706,0.90007,0.7373,0.7669,0.57775,1.11532,0.00129293,0.00129293,0.00129293
70,1647.24,0.67757,0.4999,1.02363,0.90424,0.85783,0.9018,0.74435,0.72756,0.54164,1.06028,0.00128742,0.00128742,0.00128742
71,1670.15,0.71016,0.53161,1.03498,0.92401,0.83347,0.90859,0.73806,0.69468,0.55445,1.02188,0.00128192,0.00128192,0.00128192
72,1693.6,0.68193,0.50201,1.0218,0.89276,0.87625,0.91132,0.75202,0.71011,0.54435,1.04918,0.00127642,0.00127642,0.00127642
73,1717.34,0.70137,0.51063,1.03238,0.89644,0.86604,0.91132,0.73684,0.72784,0.5617,1.06226,0.00127092,0.00127092,0.00127092
74,1740.92,0.67151,0.51424,1.03373,0.84955,0.85745,0.91091,0.74925,0.70759,0.55614,1.06114,0.00126542,0.00126542,0.00126542
75,1764.51,0.6753,0.51146,1.02496,0.89321,0.8464,0.91385,0.75786,0.72787,0.56382,1.03979,0.00125992,0.00125992,0.00125992
76,1788.06,0.6871,0.49746,1.01396,0.92067,0.80786,0.88337,0.73908,0.72918,0.54002,1.05307,0.00125442,0.00125442,0.00125442
77,1811.32,0.69136,0.51556,1.02998,0.85064,0.81961,0.87915,0.73083,0.70881,0.60731,1.05809,0.00124892,0.00124892,0.00124892
78,1834.89,0.693,0.51272,1.02635,0.93692,0.84664,0.91841,0.75245,0.72136,0.51627,1.06063,0.00124342,0.00124342,0.00124342
79,1858.21,0.66583,0.48734,1.01741,0.89169,0.85959,0.90039,0.74065,0.68732,0.55256,1.02503,0.00123791,0.00123791,0.00123791
80,1881.73,0.68784,0.51962,1.01897,0.83419,0.75275,0.86149,0.71017,0.6821,0.74804,1.01582,0.00123241,0.00123241,0.00123241
81,1905.12,0.69624,0.53222,1.03037,0.90036,0.83052,0.89613,0.74854,0.70027,0.55307,1.0519,0.00122691,0.00122691,0.00122691
82,1928.63,0.67256,0.50003,1.01402,0.88371,0.87579,0.90261,0.72843,0.74034,0.54508,1.07926,0.00122141,0.00122141,0.00122141
83,1952.43,0.65783,0.47119,1.01607,0.87371,0.85384,0.8983,0.7441,0.71848,0.56829,1.06912,0.00121591,0.00121591,0.00121591
84,1975.99,0.69531,0.49848,1.02304,0.89198,0.83738,0.90994,0.75779,0.72015,0.52762,1.04571,0.00121041,0.00121041,0.00121041
85,1999.34,0.6853,0.48484,1.02567,0.90215,0.79332,0.8744,0.72748,0.7403,0.61491,1.07349,0.00120491,0.00120491,0.00120491
